Date,AAPL,GOOGL,MSFT,AMZN,META,TSLA,NVDA,AVGO,GLDM,NOW,QQQM,SPLG,IONQ,RGTI,OKLO,PLTR,MRNA,NFLX,GE,WMT
2018-10-01,51.95298767089844,54.26953887939453,99.85667419433594,79.90049743652344,151.07798767089844,22.488000869750977,5.222620964050293,18.43292999267578,24.31999969482422,181.0399932861328,,28.449119567871094,,,,,,301.7799987792969,47.004127502441406,30.07582664489746
2018-11-01,42.39132308959961,55.218502044677734,103.67108917236328,84.50849914550781,139.95040893554688,23.365333557128906,4.0484418869018555,19.58102035522461,24.440000534057617,185.27000427246094,,29.024030685424805,,,,,,286.1300048828125,34.90404129,29.28703498840332
2018-12-01,37.574974060058594,51.99939727783203,95.36802673339844,75.09850311279297,130.47506713867188,22.18666648864746,3.310332775115967,20.972415924072266,25.639999389648438,178.0500030517578,,26.23929786682129,,,,,15.270000457763672,267.6600036621094,35.22982406616211,27.937410354614258
2019-01-01,39.64738464355469,56.02663803100586,98.05340576171875,85.93650055,165.9080810546875,20.468000411987305,3.564497232437134,22.357765197753906,26.37000084,220.02000427246094,,28.63764190673828,,,,,16.600000381469727,339.5,47.34840012,28.898035049438477
2019-02-01,41.245765686035156,56.05948257446289,105.18934631347656,81.99150085449219,160.69264221191406,21.325332641601562,3.8251078128814697,22.950366973876953,26.239999771118164,239.44000244140625,,29.649757385253906,,,,,22.600000381469727,358.1000061035156,50.35707092285156,29.85094643
2019-03-01,45.44173049926758,58.56450653076172,111.2114028930664,89.03749847,165.9080810546875,18.657333374023438,4.4570465087890625,25.06320571899414,25.81999969482422,246.49000549316406,,30.029306411743164,,,,,20.350000381469727,356.55999755859375,48.41838836669922,29.410675048828125
2019-04-01,48.006263732910156,59.662757873535156,123.1491470336914,96.32599639892578,192.49278259277344,15.912667274475098,4.492792129516602,26.774662017822266,25.639999389648438,271.5100098,,31.389888763427734,,,,,26.030000686645508,370.5400085449219,49.343013763427734,31.178804397583008
2019-05-01,41.881988525390625,55.06175231933594,116.6239242553711,88.75350189208984,176.6375274658203,12.343999862670898,3.3623950481414795,21.16073226928711,26.079999923706055,261.92999267578125,,29.420074462890625,,,,,20.780000686645508,343.2799987792969,45.801185607910156,30.754344940185547
2019-06-01,47.530731201171875,53.882389068603516,126.78502655029297,94.68150329589844,192.09466552734375,14.897333145141602,4.081179141998291,24.206518173217773,28.18000030517578,274.57000732421875,,31.35357093811035,,,,,14.640000343322754,367.32000732421875,50.94410324,33.676055908203125
2019-07-01,51.16180419921875,60.62017822265625,128.97132873535156,93.33899688720703,193.31890869140625,16.107332229614258,4.192758083343506,24.619430541992188,28.195999145507812,277.3900146484375,,31.983322143554688,,,,,13.100000381469727,322.9899902,50.75032043457031,33.64252853393555
2019-08-01,50.12916564941406,59.24325942993164,130.47613525390625,88.81449890136719,184.79904174804688,15.040666580200195,4.162687778,23.995431900024414,30.399999618530273,261.8399963378906,,31.381242752075195,,,,,15.729999542236328,293.75,40.066043853759766,34.82511901855469
2019-09-01,53.99101638793945,60.766475677490234,132.0216064453125,86.79550170898438,177.2446289,16.058000564575195,4.329989433288574,23.43765640258789,29.399999618530273,253.85000610351562,,31.79175377,,,,,15.920000076293945,267.6199951171875,43.417022705078125,36.35033416748047
2019-10-01,59.96699142456055,62.64051437,136.14285278320312,88.83300018310547,190.75099182128906,20.994667053222656,5.000370025634766,25.091012954711914,30.18000030517578,247.25999450683594,,32.63277053833008,,,,,16.75,287.4100036621094,48.520179748535156,35.91539001464844
2019-11-01,64.42425537109375,64.89424896240234,143.7490997314453,90.04000091552734,200.6941375732422,21.996000289916992,5.391404151916504,27.092464447021484,29.219999313354492,283.0400085449219,,33.870262145996094,,,,,20.360000610351562,314.6600036621094,54.791812896728516,36.47590637207031
2019-12-01,71.00086212158203,66.65084838867188,150.2600555419922,92.39199829101562,204.2871856689453,27.88866615,5.857403755187988,27.076189041137695,30.280000686645508,282.32000732421875,,34.667747497558594,,,,,19.559999465942383,323.57000732421875,54.257015228271484,36.399330139160156
2020-01-01,74.83560943603516,71.29812622070312,162.1989288330078,100.43599700927734,200.96286010742188,43.371334075927734,5.885533332824707,26.410551071166992,31.65999984741211,338.2300109863281,,34.878379821777344,,,,,20.510000228881836,345.0899963378906,60.58354949951172,35.224266052246094
2020-02-01,66.09497833251953,66.64388275146484,154.36671447753906,94.1875,191.56715393066406,44.53266525268555,6.722945690155029,23.594329833984375,31.479999542236328,326.0899963378906,,32.06858444213867,,,,,25.93000030517578,369.0299987792969,52.94369125366211,33.129093170166016
2020-03-01,61.630035400390625,57.82106018066406,150.68003845214844,97.48600006103516,166.01754760742188,34.93333435058594,6.565809726715088,20.52019500732422,31.440000534057617,286.5799865722656,,27.867700576782227,,,,,29.950000762939453,375.5,38.63721848,34.95661163330078
2020-04-01,71.20571899414062,67.01460266113281,171.2216797,123.69999694824219,203.74972534179688,52.12533187866211,7.280178070068359,23.907365798950195,33.68000030517578,351.5400085449219,,31.631628036499023,,,,,45.99000168,419.8500061035156,33.12266540527344,37.56183624267578
2020-05-01,77.05630493164062,71.33495330810547,175.0815887451172,122.11849975585938,224.0341339111328,55.66666793823242,8.842920303344727,25.636913299560547,34.540000915527344,387.92999267578125,,33.13391876220703,,,,,61.5,419.7300109863281,32.002342224121094,38.33749008178711
2020-06-01,88.65270996,70.56512451171875,194.97996520996094,137.9409942626953,226.0048370361328,71.98733520507812,9.462883949279785,27.779266357421875,35.52000045776367,405.05999755859375,,33.616153717041016,,,,,64.20999908447266,455.0400085449219,33.268802642822266,37.17768859863281
